Id;Username;Points
9;Birgitte Nyborg;12
6;Birgitte Nyborg;10
25;Birgitte Nyborg;8
1;Birgitte Nyborg;7
2;Birgitte Nyborg;6
8;Birgitte Nyborg;5
16;Birgitte Nyborg;4
23;Birgitte Nyborg;3
20;Birgitte Nyborg;2
12;Birgitte Nyborg;1
21;Bongo Kamerad;12
1;Bongo Kamerad;10
13;Bongo Kamerad;8
15;Bongo Kamerad;7
2;Bongo Kamerad;6
20;Bongo Kamerad;5
17;Bongo Kamerad;4
7;Bongo Kamerad;3
16;Bongo Kamerad;2
25;Bongo Kamerad;1
5;Wojtoslav;12
18;Wojtoslav;10
13;Wojtoslav;8
14;Wojtoslav;7
24;Wojtoslav;6
1;Wojtoslav;5
17;Wojtoslav;4
20;Wojtoslav;3
9;Wojtoslav;2
12;Wojtoslav;1
18;EuroNutella;12
15;EuroNutella;10
24;EuroNutella;8
14;EuroNutella;7
10;EuroNutella;6
13;EuroNutella;5
25;EuroNutella;4
6;EuroNutella;3
26;EuroNutella;2
21;EuroNutella;1
1;Iceylore;12
16;Iceylore;10
2;Iceylore;8
20;Iceylore;7
6;Iceylore;6
13;Iceylore;5
18;Iceylore;4
15;Iceylore;3
26;Iceylore;2
21;Iceylore;1
6;Kaasvreter;12
3;Kaasvreter;10
1;Kaasvreter;8
12;Kaasvreter;7
2;Kaasvreter;6
25;Kaasvreter;5
20;Kaasvreter;4
24;Kaasvreter;3
11;Kaasvreter;2
26;Kaasvreter;1
23;Edelweiss;12
2;Edelweiss;10
16;Edelweiss;8
20;Edelweiss;7
9;Edelweiss;6
12;Edelweiss;5
1;Edelweiss;4
14;Edelweiss;3
18;Edelweiss;2
17;Edelweiss;1
13;The_Thijs;12
25;The_Thijs;10
2;The_Thijs;8
18;The_Thijs;7
12;The_Thijs;6
20;The_Thijs;5
16;The_Thijs;4
23;The_Thijs;3
8;The_Thijs;2
14;The_Thijs;1
20;JoeBie;12
1;JoeBie;10
13;JoeBie;8
16;JoeBie;7
6;JoeBie;6
9;JoeBie;5
21;JoeBie;4
25;JoeBie;3
24;JoeBie;2
18;JoeBie;1
24;Vowen;12
10;Vowen;10
18;Vowen;8
14;Vowen;7
8;Vowen;6
6;Vowen;5
5;Vowen;4
13;Vowen;3
2;Vowen;2
15;Vowen;1
6;miļk;12
10;miļk;10
13;miļk;8
25;miļk;7
1;miļk;6
5;miļk;5
23;miļk;4
2;miļk;3
22;miļk;2
12;miļk;1
22;Matas;12
10;Matas;10
2;Matas;8
24;Matas;7
4;Matas;6
12;Matas;5
18;Matas;4
16;Matas;3
9;Matas;2
1;Matas;1
20;tritooo;12
18;tritooo;10
9;tritooo;8
14;tritooo;7
23;tritooo;6
25;tritooo;5
17;tritooo;4
13;tritooo;3
6;tritooo;2
3;tritooo;1
6;13rafdav;12
13;13rafdav;10
2;13rafdav;8
18;13rafdav;7
8;13rafdav;6
23;13rafdav;5
24;13rafdav;4
19;13rafdav;3
20;13rafdav;2
21;13rafdav;1
21;Zerbrxsler;12
20;Zerbrxsler;10
14;Zerbrxsler;8
15;Zerbrxsler;7
26;Zerbrxsler;6
10;Zerbrxsler;5
9;Zerbrxsler;4
4;Zerbrxsler;3
22;Zerbrxsler;2
13;Zerbrxsler;1
6;fabnem;12
13;fabnem;10
8;fabnem;8
9;fabnem;7
14;fabnem;6
25;fabnem;5
2;fabnem;4
18;fabnem;3
15;fabnem;2
10;fabnem;1
13;Muffin;12
21;Muffin;10
18;Muffin;8
5;Muffin;7
15;Muffin;6
20;Muffin;5
19;Muffin;4
8;Muffin;3
6;Muffin;2
11;Muffin;1
13;MelonLover;12
24;MelonLover;10
25;MelonLover;8
1;MelonLover;7
2;MelonLover;6
5;MelonLover;5
15;MelonLover;4
18;MelonLover;3
21;MelonLover;2
20;MelonLover;1
8;Yeyo;12
10;Yeyo;10
15;Yeyo;8
16;Yeyo;7
2;Yeyo;6
13;Yeyo;5
25;Yeyo;4
5;Yeyo;3
1;Yeyo;2
14;Yeyo;1
13;NYANYAnderdwal;12
9;NYANYAnderdwal;10
21;NYANYAnderdwal;8
20;NYANYAnderdwal;7
12;NYANYAnderdwal;6
2;NYANYAnderdwal;5
16;NYANYAnderdwal;4
25;NYANYAnderdwal;3
18;NYANYAnderdwal;2
14;NYANYAnderdwal;1
16;Alixxa;12
14;Alixxa;10
1;Alixxa;8
8;Alixxa;7
19;Alixxa;6
26;Alixxa;5
13;Alixxa;4
24;Alixxa;3
23;Alixxa;2
5;Alixxa;1
22;Firmi;12
6;Firmi;10
13;Firmi;8
12;Firmi;7
5;Firmi;6
3;Firmi;5
15;Firmi;4
18;Firmi;3
17;Firmi;2
20;Firmi;1
1;public;0
2;public;28
3;public;68
4;public;0
5;public;0
6;public;8
7;public;0
8;public;0
9;public;16
10;public;4
11;public;12
12;public;4
13;public;60
14;public;60
15;public;16
16;public;4
17;public;0
18;public;16
19;public;0
20;public;40
21;public;12
22;public;8
23;public;4
24;public;0
25;public;24
26;public;0
