Id;Username;Points
19;EuroNutella;12
18;EuroNutella;10
12;EuroNutella;8
6;EuroNutella;7
3;EuroNutella;6
10;EuroNutella;5
22;EuroNutella;4
4;EuroNutella;3
1;EuroNutella;2
25;EuroNutella;1
20;fabnem;12
18;fabnem;10
24;fabnem;8
12;fabnem;7
14;fabnem;6
6;fabnem;5
3;fabnem;4
19;fabnem;3
21;fabnem;2
23;fabnem;1
2;Matthew_Something;12
19;Matthew_Something;10
5;Matthew_Something;8
21;Matthew_Something;7
3;Matthew_Something;6
22;Matthew_Something;5
12;Matthew_Something;4
17;Matthew_Something;3
7;Matthew_Something;2
6;Matthew_Something;1
24;Bartefjes;12
19;Bartefjes;10
25;Bartefjes;8
8;Bartefjes;7
4;Bartefjes;6
1;Bartefjes;5
6;Bartefjes;4
2;Bartefjes;3
14;Bartefjes;2
22;Bartefjes;1
10;Puerto;12
22;Puerto;10
12;Puerto;8
11;Puerto;7
19;Puerto;6
6;Puerto;5
25;Puerto;4
9;Puerto;3
7;Puerto;2
4;Puerto;1
22;AirBloo;12
20;AirBloo;10
17;AirBloo;8
10;AirBloo;7
7;AirBloo;6
19;AirBloo;5
12;AirBloo;4
24;AirBloo;3
14;AirBloo;2
21;AirBloo;1
6;Iceylore;12
7;Iceylore;10
14;Iceylore;8
24;Iceylore;7
19;Iceylore;6
4;Iceylore;5
12;Iceylore;4
21;Iceylore;3
3;Iceylore;2
25;Iceylore;1
14;Matas;12
25;Matas;10
2;Matas;8
16;Matas;7
20;Matas;6
13;Matas;5
12;Matas;4
19;Matas;3
7;Matas;2
18;Matas;1
9;Kaasvreter;12
11;Kaasvreter;10
19;Kaasvreter;8
7;Kaasvreter;7
6;Kaasvreter;6
23;Kaasvreter;5
25;Kaasvreter;4
20;Kaasvreter;3
4;Kaasvreter;2
18;Kaasvreter;1
19;salmmanfred;12
2;salmmanfred;10
12;salmmanfred;8
7;salmmanfred;7
14;salmmanfred;6
22;salmmanfred;5
21;salmmanfred;4
4;salmmanfred;3
16;salmmanfred;2
20;salmmanfred;1
11;Joqu321;12
12;Joqu321;10
19;Joqu321;8
6;Joqu321;7
20;Joqu321;6
18;Joqu321;5
16;Joqu321;4
23;Joqu321;3
22;Joqu321;2
8;Joqu321;1
7;SwagTrainmaster;12
12;SwagTrainmaster;10
25;SwagTrainmaster;8
5;SwagTrainmaster;7
21;SwagTrainmaster;6
9;SwagTrainmaster;5
16;SwagTrainmaster;4
6;SwagTrainmaster;3
8;SwagTrainmaster;2
19;SwagTrainmaster;1
19;Devevid;12
25;Devevid;10
23;Devevid;8
6;Devevid;7
7;Devevid;6
12;Devevid;5
24;Devevid;4
22;Devevid;3
1;Devevid;2
11;Devevid;1
19;lewdPixel;12
1;lewdPixel;10
24;lewdPixel;8
12;lewdPixel;7
6;lewdPixel;6
7;lewdPixel;5
9;lewdPixel;4
2;lewdPixel;3
5;lewdPixel;2
4;lewdPixel;1
24;Mieloji;12
18;Mieloji;10
14;Mieloji;8
6;Mieloji;7
12;Mieloji;6
20;Mieloji;5
22;Mieloji;4
10;Mieloji;3
17;Mieloji;2
9;Mieloji;1
13;EiKoek1;12
20;EiKoek1;10
25;EiKoek1;8
22;EiKoek1;7
1;EiKoek1;6
4;EiKoek1;5
21;EiKoek1;4
6;EiKoek1;3
15;EiKoek1;2
8;EiKoek1;1
1;public;22
2;public;2
3;public;9
4;public;0
5;public;0
6;public;58
7;public;32
8;public;2
9;public;41
10;public;40
11;public;185
12;public;216
13;public;7
14;public;41
15;public;5
16;public;5
17;public;9
18;public;32
19;public;79
20;public;9
21;public;95
22;public;22
23;public;4
24;public;9
25;public;4
