Id;Username;Points
15;Tarator Komnenos of Urk;12
16;Tarator Komnenos of Urk;10
17;Tarator Komnenos of Urk;8
14;Tarator Komnenos of Urk;7
4;Tarator Komnenos of Urk;6
1;Tarator Komnenos of Urk;5
13;Tarator Komnenos of Urk;4
7;Tarator Komnenos of Urk;3
10;Tarator Komnenos of Urk;2
9;Tarator Komnenos of Urk;1
14;fabnem;12
6;fabnem;10
15;fabnem;8
3;fabnem;7
16;fabnem;6
10;fabnem;5
8;fabnem;4
17;fabnem;3
9;fabnem;2
12;fabnem;1
9;joghn;12
15;joghn;10
5;joghn;8
6;joghn;7
4;joghn;6
7;joghn;5
10;joghn;4
8;joghn;3
11;joghn;2
12;joghn;1
8;Kaasvreter;12
5;Kaasvreter;10
16;Kaasvreter;8
9;Kaasvreter;7
10;Kaasvreter;6
14;Kaasvreter;5
15;Kaasvreter;4
7;Kaasvreter;3
17;Kaasvreter;2
6;Kaasvreter;1
16;Iceylore;12
2;Iceylore;10
4;Iceylore;8
6;Iceylore;7
9;Iceylore;6
11;Iceylore;5
12;Iceylore;4
13;Iceylore;3
14;Iceylore;2
3;Iceylore;1
2;{†} President Work {†};12
16;{†} President Work {†};10
6;{†} President Work {†};8
17;{†} President Work {†};7
14;{†} President Work {†};6
15;{†} President Work {†};5
4;{†} President Work {†};4
10;{†} President Work {†};3
12;{†} President Work {†};2
8;{†} President Work {†};1
3;{†} President Work {†};0
1;public;0
2;public;13
3;public;26
4;public;16
5;public;35
6;public;97
7;public;3
8;public;42
9;public;58
10;public;0
11;public;0
12;public;3
13;public;13
14;public;13
15;public;0
16;public;23
17;public;6
