Id;Username;Points
15;Matas;12
4;Matas;10
7;Matas;8
1;Matas;7
5;Matas;6
11;Matas;5
13;Matas;4
12;Matas;3
3;Matas;2
2;Matas;1
14;fabnem;12
16;fabnem;10
10;fabnem;8
15;fabnem;7
11;fabnem;6
4;fabnem;5
2;fabnem;4
13;fabnem;3
5;fabnem;2
6;fabnem;1
16;EuroNutella;12
10;EuroNutella;10
14;EuroNutella;8
3;EuroNutella;7
13;EuroNutella;6
12;EuroNutella;5
11;EuroNutella;4
9;EuroNutella;3
5;EuroNutella;2
2;EuroNutella;1
4;Marcinej;12
13;Marcinej;10
2;Marcinej;8
3;Marcinej;7
10;Marcinej;6
11;Marcinej;5
16;Marcinej;4
6;Marcinej;3
7;Marcinej;2
9;Marcinej;1
16;Firmi;12
11;Firmi;10
15;Firmi;8
7;Firmi;7
8;Firmi;6
4;Firmi;5
10;Firmi;4
6;Firmi;3
13;Firmi;2
12;Firmi;1
10;MelonLover;12
13;MelonLover;10
3;MelonLover;8
16;MelonLover;7
7;MelonLover;6
12;MelonLover;5
11;MelonLover;4
15;MelonLover;3
2;MelonLover;2
4;MelonLover;1
10;Bartefjes;12
4;Bartefjes;10
13;Bartefjes;8
11;Bartefjes;7
9;Bartefjes;6
6;Bartefjes;5
2;Bartefjes;4
14;Bartefjes;3
5;Bartefjes;2
16;Bartefjes;1
10;miļk;12
14;miļk;10
2;miļk;8
5;miļk;7
13;miļk;6
9;miļk;5
11;miļk;4
16;miļk;3
15;miļk;2
4;miļk;1
14;Matø;12
16;Matø;10
5;Matø;8
1;Matø;7
2;Matø;6
10;Matø;5
7;Matø;4
11;Matø;3
4;Matø;2
8;Matø;1
16;Yeyo;12
14;Yeyo;10
5;Yeyo;8
10;Yeyo;7
2;Yeyo;6
13;Yeyo;5
15;Yeyo;4
11;Yeyo;3
8;Yeyo;2
6;Yeyo;1
16;Bongo Kamerad;12
13;Bongo Kamerad;10
14;Bongo Kamerad;8
10;Bongo Kamerad;7
5;Bongo Kamerad;6
6;Bongo Kamerad;5
12;Bongo Kamerad;4
4;Bongo Kamerad;3
15;Bongo Kamerad;2
2;Bongo Kamerad;1
5;Alixxa;12
13;Alixxa;10
10;Alixxa;8
12;Alixxa;7
9;Alixxa;6
2;Alixxa;5
1;Alixxa;4
4;Alixxa;3
15;Alixxa;2
8;Alixxa;1
13;JoeBie;12
4;JoeBie;10
5;JoeBie;8
10;JoeBie;7
16;JoeBie;6
2;JoeBie;5
6;JoeBie;4
12;JoeBie;3
14;JoeBie;2
11;JoeBie;1
5;Iceylore;12
1;Iceylore;10
3;Iceylore;8
13;Iceylore;7
11;Iceylore;6
14;Iceylore;5
9;Iceylore;4
16;Iceylore;3
4;Iceylore;2
7;Iceylore;1
13;Birgitte Nyborg;12
15;Birgitte Nyborg;10
11;Birgitte Nyborg;8
14;Birgitte Nyborg;7
10;Birgitte Nyborg;6
4;Birgitte Nyborg;5
7;Birgitte Nyborg;4
5;Birgitte Nyborg;3
2;Birgitte Nyborg;2
16;Birgitte Nyborg;1
4;Kaasvreter;12
13;Kaasvreter;10
6;Kaasvreter;8
16;Kaasvreter;7
2;Kaasvreter;6
10;Kaasvreter;5
14;Kaasvreter;4
8;Kaasvreter;3
5;Kaasvreter;2
11;Kaasvreter;1
1;public;8
2;public;4
3;public;4
4;public;20
5;public;12
6;public;0
7;public;0
8;public;0
9;public;36
10;public;84
11;public;0
12;public;4
13;public;16
14;public;72
15;public;0
16;public;28
